Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureAttributesUsed,measureNumIterations
R_data_frame,1,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.009564480918379647,0.02222384297244271,2.581736043225949,5.174582002481879,39.25330158228048,0.5691503830251854,38.6841511992553,1.9626650791140239,0.02845751915125927,1.9342075599627648,38.6841511992553,1.9342075599627648,98.55005729433444,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.104,0.0,0.09375,0.0,93.75,0.0,11244.0,47646.0,7672.0,100.0,28.75,?,55.55555555555556,10.0
R_data_frame,1,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9333333333333332,0.05341619237197902,0.15749206042777192,14.323015855175223,36.39761485230589,39.91382571347154,4.998259934227221,34.91556577924432,1.995691285673577,0.24991299671136105,1.745778288962216,35.711482406898206,1.7855741203449103,89.47145949691568,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,1.0,1.0,0.95,0.0125,0.9875,0.05,0.96,0.95,0.9505050505050505,0.9377802118633468,1.0,1.0,0.9494949494949496,0.95,0.034,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,33.75,?,48.148148148148145,7.0
R_data_frame,1,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9324324324324323,0.02329421196654549,0.13203272505594216,6.266883337636777,30.627441867407136,39.621044975981796,2.7065017784163334,36.914543197565465,1.9810522487990898,0.13532508892081668,1.8457271598782732,37.39041313854548,1.8695206569272742,94.3700832757225,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.9496503496503497,0.9322179024663904,1.0,1.0,0.958041958041958,0.95,0.031,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,27.5,?,70.37037037037037,30.0
R_data_frame,1,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9319727891156462,0.08496250783912138,0.1892419880617515,22.85761482146355,43.89819255626277,39.621044975981796,8.541869764558234,31.07917521142356,1.9810522487990898,0.4270934882279117,1.553958760571178,33.092185673045584,1.6546092836522792,83.5217387454218,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.9483516483516483,0.9356763814432926,0.9763392857142857,0.940595238095238,0.945054945054945,0.95,0.031,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,47.5,?,29.629629629629626,4.0
R_data_frame,1,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9331103678929765,0.026132134273821432,0.14113442898893044,7.019997694222141,32.68384450102019,39.76027738393163,3.387063791406408,36.373213592525225,1.9880138691965814,0.1693531895703204,1.8186606796262612,37.43720881316634,1.8718604406583172,94.15731296757978,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.016666666666666666,0.9833333333333334,0.05,0.9583333333333334,0.95,0.95,0.9350544070285082,1.0,1.0,0.9545454545454546,0.95,0.041,0.001,0.046875,0.0,46.875,0.0,11244.0,47646.0,7672.0,100.0,27.5,?,70.37037037037037,20.0
R_data_frame,1,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,17.0,3.0,0.0,85.0,15.0,0.0,0.7999999999999999,0.07175871303313966,0.2604918989658649,19.27687936831206,60.32459110486469,39.76027738393163,79.69630248912934,-39.93602510519771,1.9880138691965814,3.9848151244564667,-1.9968012552598853,32.53927035337481,1.6269635176687405,81.83864020658203,1.0,5.0,0.06666666666666667,1.0,0.9333333333333333,14.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.8819171036881969,1.0,1.0,0.85,0.041666666666666664,0.9583333333333334,0.15,0.8783333333333335,0.85,0.8555555555555555,0.817030811812543,0.9450892857142857,0.9170518207282914,0.8434343434343434,0.85,0.032,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,90.0,26.25,?,77.77777777777779,31.0
R_data_frame,1,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.008660655522580949,0.03368972238954575,2.3265524798667645,7.801850021647195,39.76027738393163,0.5372460605923922,39.223031323339235,1.9880138691965814,0.02686230302961961,1.9611515661669618,39.22303132333925,1.9611515661669625,98.64878694028052,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.038,0.001,0.03125,0.015625,31.25,15.625,11244.0,47646.0,7672.0,100.0,27.5,?,59.25925925925925,18.0
R_data_frame,1,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9326599326599326,0.04879996280344254,0.1568702448075492,13.109362701441391,36.32793730670098,39.76027738393163,5.280134335449483,34.48014304848215,1.9880138691965814,0.2640067167724741,1.7240071524241074,35.537876820099605,1.7768938410049802,89.38035435955376,1.0,5.0,0.06666666666666667,1.0,0.9333333333333333,14.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.8819171036881969,0.9733333333333334,0.9266666666666666,0.95,0.016666666666666666,0.9833333333333334,0.05,0.9583333333333334,0.95,0.9487012987012987,0.9385128860054104,0.9933333333333334,0.9816666666666667,0.9415584415584415,0.95,0.037,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,32.5,?,51.85185185185185,8.0
R_data_frame,1,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,179.0,19.0,19.0,0.0,0.0,100.0,0.0,0.0,1.0,0.038914436131618886,0.0698206579823736,10.496935176853288,16.243936179768692,37.364683821520984,2.3104879971246857,35.054195824396295,1.9665623063958413,0.12160463142761503,1.8449576749682262,35.054195824396295,1.8449576749682262,93.81638552553758,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.042,0.0,0.046875,0.0,46.875,0.0,11244.0,47899.0,7419.0,100.0,42.10526315789474,?,44.44444444444444,6.0
R_data_frame,1,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,179.0,19.0,19.0,0.0,0.0,100.0,0.0,0.0,1.0,0.04512430911558849,0.08686285563037183,12.172011077959752,20.208842540676585,37.364683821520984,2.7422938150093263,34.62239000651166,1.9665623063958413,0.1443312534215435,1.8222310529742978,34.62239000651166,1.8222310529742978,92.66073325253232,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035,0.0,0.03125,0.0,31.25,0.0,11244.0,47899.0,7419.0,100.0,36.8421052631579,?,40.74074074074074,6.0
