Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
R_data_frame,1,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,17.0,3.0,0.0,85.0,15.0,0.0,0.7959183673469388,0.075,0.27386127875258304,20.244716351501673,63.765643321319246,39.25330158228048,3222.0,-3182.7466984177195,1.9626650791140239,161.1,-159.13733492088596,31.960368884649498,1.598018444232475,81.42084256952512,0.8333333333333334,5.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.16666666666666666,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.6633880657639324,0.8452380952380952,0.6452380952380952,0.85,0.05168067226890756,0.9483193277310924,0.15,0.8642857142857142,0.85,0.8534965034965035,0.8047680214238742,0.8991596638655462,0.7827380952380951,0.8362470862470862,0.85,0.011,0.0,0.015625,0.0,15.625,0.0,1306.0,47646.0,7672.0,85.0,25.0,?
R_data_frame,1,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,18.0,2.0,0.0,90.0,10.0,0.0,0.8666666666666667,0.05,0.22360679774997896,13.406998158379375,51.67723427298573,39.91382571347154,2148.0,-2108.0861742865286,1.995691285673577,107.4,-105.40430871432643,35.32268383258998,1.766134191629499,88.4973645126381,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,0.9166666666666666,0.8833333333333333,0.9,0.029166666666666664,0.9708333333333334,0.1,0.9183333333333333,0.9,0.9,0.8747658387315056,0.9354166666666666,0.8458333333333334,0.898989898989899,0.9,0.006,0.0,0.015625,0.0,15.625,0.0,1306.0,47646.0,7672.0,90.0,25.0,?
R_data_frame,1,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,18.0,2.0,0.0,90.0,10.0,0.0,0.8666666666666667,0.05,0.22360679774997896,13.45158906134516,51.86974817298394,39.621044975981796,2148.0,-2108.378955024018,1.9810522487990898,107.4,-105.4189477512009,34.92985097441981,1.7464925487209904,88.15984281988075,0.6666666666666666,4.0,0.0,0.0,1.0,14.0,0.3333333333333333,2.0,1.0,0.6666666666666666,0.8,0.7637626158259734,0.8333333333333334,0.7666666666666666,0.9,0.025,0.975,0.1,0.9333333333333332,0.9,0.9,0.8818813079129868,0.9375,0.8633333333333333,0.9,0.9,0.006,0.0,0.0,0.0,0.0,0.0,1306.0,47646.0,7672.0,90.0,25.0,?
R_data_frame,1,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,17.0,3.0,0.0,85.0,15.0,0.0,0.7986577181208053,0.075,0.27386127875258304,20.17738359201774,63.52720805523531,39.621044975981796,3222.0,-3182.378955024018,1.9810522487990898,161.1,-159.1189477512009,32.589042095859696,1.6294521047929849,82.2518490252216,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,0.9166666666666666,0.8833333333333333,0.85,0.04642857142857143,0.9535714285714285,0.15,0.86,0.85,0.8505050505050505,0.8038516404347753,0.9017857142857142,0.7708333333333333,0.8453282828282829,0.85,0.006,0.0,0.015625,0.0,15.625,0.0,1306.0,47646.0,7672.0,85.0,25.0,?
R_data_frame,1,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9331103678929765,0.025,0.15811388300841897,6.715867158671587,36.61593845471246,39.76027738393163,1074.0,-1034.2397226160683,1.9880138691965814,53.7,-51.71198613080342,37.499575605697714,1.8749787802848856,94.31417000338249,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.016666666666666666,0.9833333333333334,0.05,0.9583333333333334,0.95,0.95,0.9350544070285082,0.9666666666666666,0.9233333333333335,0.9545454545454546,0.95,0.004,0.0,0.0,0.0,0.0,0.0,1306.0,47646.0,7672.0,95.0,25.0,?
R_data_frame,1,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,16.0,4.0,0.0,80.0,20.0,0.0,0.7306397306397306,0.1,0.31622776601683794,26.86346863468635,73.23187690942493,39.76027738393163,4296.0,-4256.239722616068,1.9880138691965814,214.8,-212.8119861308034,29.614596253679583,1.4807298126839792,74.48287135352774,1.0,5.0,0.26666666666666666,4.0,0.7333333333333333,11.0,0.0,0.0,0.5555555555555556,1.0,0.7142857142857143,0.6382847385042254,0.8666666666666667,0.5555555555555556,0.8,0.06666666666666667,0.9333333333333332,0.2,0.888888888888889,0.8,0.8068542568542568,0.7739860000119584,0.8666666666666668,0.7363888888888889,0.7947330447330447,0.8,0.002,0.0,0.0,0.0,0.0,0.0,1306.0,47646.0,7672.0,80.0,25.0,?
R_data_frame,1,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,14.0,6.0,0.0,70.0,30.0,0.0,0.5973154362416107,0.15,0.3872983346207417,40.29520295202953,89.69036566719832,39.76027738393163,6444.0,-6404.239722616068,1.9880138691965814,322.2,-320.21198613080344,24.822152828675563,1.241107641433778,62.42952630583752,1.0,5.0,0.2,3.0,0.8,12.0,0.0,0.0,0.625,1.0,0.7692307692307693,0.7071067811865475,0.9,0.625,0.7,0.1,0.9,0.3,0.8125,0.7,0.6646153846153846,0.6378263685174228,0.8,0.5875,0.6512820512820513,0.7,0.011,0.0,0.0,0.0,0.0,0.0,1318.0,47646.0,7672.0,70.0,25.0,?
R_data_frame,1,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,178.0,20.0,18.0,2.0,0.0,90.0,10.0,0.0,0.8648648648648649,0.05,0.22360679774997896,13.431734317343174,51.78275676167292,39.76027738393163,2148.0,-2108.2397226160683,1.9880138691965814,107.4,-105.41198613080341,34.322931236895435,1.7161465618447718,86.32467753046011,1.0,5.0,0.13333333333333333,2.0,0.8666666666666667,13.0,0.0,0.0,0.7142857142857143,1.0,0.8333333333333333,0.7867957924694432,0.9333333333333333,0.7142857142857143,0.9,0.03333333333333333,0.9666666666666668,0.1,0.9285714285714285,0.9,0.8916666666666666,0.8800322814506941,0.9333333333333333,0.8485714285714285,0.875,0.9,0.004,0.0,0.0,0.0,0.0,0.0,1306.0,47646.0,7672.0,90.0,25.0,?
R_data_frame,1,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,179.0,19.0,15.0,4.0,0.0,78.94736842105263,21.05263157894737,0.0,0.7164179104477613,0.10526315789473684,0.3244428422615251,28.394103956555472,75.48237120609001,37.364683821520984,4296.0,-4258.635316178479,1.9665623063958413,226.10526315789474,-224.1387008514989,27.86108388083289,1.46637283583331,74.56528740860294,0.8,4.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.2,1.0,0.8,0.8,0.8000000000000002,0.7285714285714285,0.8642857142857143,0.6926315789473685,0.7894736842105263,0.07175390399074609,0.9282460960092539,0.21052631578947367,0.7894736842105263,0.7894736842105263,0.7844611528822055,0.713237217384455,0.8588598901098902,0.6827331486611264,0.7892857142857144,0.7894736842105263,0.004,0.0,0.015625,0.0,15.625,0.0,1306.0,47899.0,7419.0,78.94736842105263,25.0,?
R_data_frame,1,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.01810080716E7,179.0,19.0,14.0,5.0,0.0,73.6842105263158,26.31578947368421,0.0,0.6468401486988847,0.13157894736842105,0.3627381250550058,35.49262994569434,84.39185655984501,37.364683821520984,5370.0,-5332.635316178479,1.9665623063958413,282.63157894736844,-280.66501664097257,25.28918652075383,1.3310098168817805,67.68205678268843,0.6,3.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.4,2.0,0.6,0.6,0.6,0.45714285714285713,0.7285714285714285,0.4652631578947368,0.7368421052631579,0.07612781954887217,0.923872180451128,0.2631578947368421,0.7631578947368421,0.7368421052631579,0.745727956254272,0.6663159075296721,0.8303571428571428,0.6454293628808865,0.7201298701298702,0.7368421052631579,0.005,0.0,0.0,0.0,0.0,0.0,1306.0,47899.0,7419.0,73.6842105263158,25.0,?
