@relation R_data_frame

@attribute b1 numeric
@attribute b2 numeric
@attribute b3 numeric
@attribute b4 numeric
@attribute b5 numeric
@attribute b6 numeric
@attribute b7 numeric
@attribute b8 numeric
@attribute b9 numeric
@attribute rawDataTraining.class {'d ','h ','o ','s '}

@data
39,36,57,91,59,101,93,27,60,'d '
84,30,57,112,51,98,92,26,62,'h '
53,25,49,99,51,93,84,26,58,'s '
59,26,49,103,47,92,82,25,56,'s '
57,49,66,103,64,106,114,28,59,'d '
85,28,56,120,52,98,101,27,65,'h '
56,29,50,93,51,94,77,26,58,'s '
40,39,58,82,61,99,89,26,57,'d '
53,27,49,95,49,92,63,25,54,'s '
51,57,77,90,89,123,97,47,83,'o '
34,32,53,97,53,97,59,22,50,'d '
75,68,89,116,77,118,94,42,76,'o '
64,52,71,98,72,109,87,37,70,'o '
51,47,67,95,66,106,97,26,56,'d '
63,28,52,93,51,93,84,25,59,'s '
41,44,67,64,71,104,84,54,85,'o '
67,68,89,108,74,114,117,44,86,'o '
62,59,73,91,78,109,112,28,59,'d '
50,25,49,92,48,90,62,23,52,'s '
74,29,55,114,52,101,94,28,65,'h '
78,85,101,124,82,126,91,50,80,'o '
61,50,69,91,73,105,111,27,59,'d '
55,30,53,86,52,94,69,28,61,'s '
68,28,54,110,50,98,95,27,64,'h '
57,55,71,102,70,108,126,27,59,'d '
74,30,57,109,50,98,88,28,64,'h '
66,78,101,106,73,114,112,36,73,'o '
50,39,62,108,55,101,95,26,58,'d '
50,51,73,78,61,98,89,25,55,'d '
45,39,60,105,60,106,98,27,57,'d '
45,39,61,108,57,108,74,27,57,'d '
57,28,49,96,48,92,78,25,57,'s '
67,75,95,92,84,120,81,53,86,'o '
68,28,54,104,50,96,90,28,61,'s '
49,46,67,105,57,100,91,25,55,'d '
56,50,68,80,70,100,107,27,60,'d '
61,77,108,83,69,103,93,24,55,'d '
82,29,54,111,51,97,107,26,63,'h '
63,70,92,90,87,129,103,70,109,'o '
54,57,78,77,69,100,97,26,56,'d '
40,38,59,114,55,105,87,26,58,'d '
58,52,68,105,65,107,107,27,56,'d '
62,27,51,92,47,87,89,25,57,'s '
53,27,49,87,50,90,71,25,55,'s '
82,29,55,117,50,98,101,26,63,'h '
63,50,69,97,73,109,101,28,60,'d '
54,48,67,115,59,105,118,28,62,'d '
60,62,85,101,73,115,96,37,73,'o '
54,53,72,81,70,102,106,27,58,'d '
70,28,54,113,52,100,88,25,63,'s '
56,51,69,88,64,104,102,25,54,'d '
51,31,55,80,52,90,82,25,56,'s '
63,28,52,98,50,92,83,26,58,'s '
85,34,59,112,58,99,115,26,63,'h '
93,29,56,126,49,96,121,26,64,'h '
53,29,51,87,49,92,66,24,56,'s '
52,49,67,54,53,87,62,52,79,'o '
44,37,59,94,59,100,88,24,53,'d '
66,28,54,104,48,95,84,25,59,'h '
85,30,56,118,50,96,106,26,60,'h '
53,40,61,92,60,99,101,25,56,'d '
45,43,62,96,63,101,90,30,65,'o '
61,59,77,99,73,111,105,35,73,'o '
56,69,91,93,96,136,74,54,90,'o '
56,26,51,107,49,91,78,23,55,'h '
49,27,50,85,49,91,65,23,54,'s '
82,30,56,118,49,94,105,26,63,'h '
61,50,68,103,65,107,101,27,57,'d '
59,56,75,88,77,107,114,26,58,'d '
78,29,55,119,49,97,99,26,63,'h '
55,58,81,97,77,121,85,38,71,'o '
92,56,83,172,58,110,97,82,108,'o '
68,76,89,111,82,123,121,35,74,'o '
60,27,49,95,47,88,69,23,53,'s '
84,32,57,118,50,95,100,25,62,'h '
58,27,51,95,49,94,68,23,55,'s '
57,54,70,79,74,101,94,26,56,'d '
63,53,74,98,77,113,77,39,68,'o '
80,29,54,119,50,95,101,24,60,'s '
59,29,52,97,52,98,74,25,57,'s '
56,46,66,115,61,106,101,27,57,'d '
53,47,66,107,65,107,104,27,57,'d '
61,67,90,93,92,131,85,56,96,'o '
73,35,61,108,56,95,109,25,59,'h '
98,89,107,152,67,115,114,46,85,'o '
79,30,55,111,49,94,92,24,59,'h '
55,50,66,106,63,100,114,26,59,'d '
55,47,66,100,61,106,92,25,56,'d '
69,27,51,101,47,88,79,23,54,'s '
71,65,85,100,81,121,120,35,73,'o '
81,98,125,117,90,129,89,46,76,'o '
67,31,55,102,47,89,81,23,56,'h '
61,65,83,144,58,110,139,38,76,'o '
105,160,196,131,65,109,96,40,75,'o '
58,51,67,94,65,101,111,26,56,'d '
68,27,51,100,46,87,77,23,54,'s '
62,65,90,97,85,126,92,47,83,'o '
80,29,56,114,48,92,100,25,59,'h '
63,71,95,100,87,130,79,43,77,'o '
