@relation R_data_frame

@attribute b1 numeric
@attribute b2 numeric
@attribute b3 numeric
@attribute b4 numeric
@attribute b5 numeric
@attribute b6 numeric
@attribute b7 numeric
@attribute b8 numeric
@attribute b9 numeric
@attribute rawDataTesting.class {'d ','h ','o ','s '}

@data
67,51,68,115,69,111,136,31,67,'d '
67,28,51,99,50,97,82,26,59,'s '
63,26,50,95,49,91,81,26,57,'s '
63,42,63,97,66,108,111,28,59,'d '
46,27,50,83,51,90,76,26,56,'s '
59,59,84,93,70,104,92,29,58,'d '
83,28,54,117,51,96,105,27,64,'h '
63,37,58,95,58,101,89,27,62,'o '
77,29,52,103,51,93,87,27,59,'s '
57,44,65,107,59,104,98,26,59,'d '
65,29,52,101,51,95,89,28,62,'s '
53,55,76,99,86,121,104,41,78,'o '
45,36,60,97,57,102,83,28,56,'d '
81,27,52,112,51,94,95,26,60,'s '
59,64,83,94,82,119,112,36,70,'o '
58,33,54,95,51,95,81,27,58,'s '
50,51,80,100,79,112,75,38,67,'o '
36,35,56,90,61,105,63,23,53,'d '
56,31,54,94,54,95,95,27,58,'s '
40,38,56,97,60,101,66,29,60,'o '
75,77,97,114,78,120,129,37,77,'o '
50,34,56,98,55,99,84,25,55,'d '
31,26,47,90,52,94,53,22,48,'d '
63,30,53,99,52,93,88,27,59,'s '
47,26,49,85,50,91,70,23,52,'s '
48,26,49,87,48,90,59,24,54,'s '
68,29,54,112,48,94,89,25,56,'d '
55,36,56,86,57,95,92,27,57,'d '
57,30,52,101,55,94,96,25,58,'s '
48,40,60,108,58,105,95,28,61,'d '
49,26,50,83,59,96,66,24,57,'s '
60,69,89,100,82,123,73,50,78,'o '
54,28,50,102,50,93,77,24,56,'s '
45,26,48,86,52,94,66,25,54,'s '
62,54,79,105,70,109,118,30,66,'d '
60,56,75,85,73,103,102,27,58,'d '
64,48,65,111,64,107,103,30,64,'d '
42,39,60,88,64,104,92,26,54,'d '
73,28,51,115,51,96,94,25,59,'h '
65,72,94,81,93,127,100,84,114,'o '
43,40,64,91,58,100,90,25,54,'d '
76,29,54,105,49,94,89,25,60,'s '
60,57,74,106,80,119,108,34,69,'o '
64,74,93,109,87,126,128,38,74,'o '
56,32,54,99,50,95,81,24,57,'s '
70,53,72,104,73,112,104,30,64,'o '
59,29,53,98,52,94,85,27,60,'s '
42,29,50,83,54,93,70,25,54,'d '
78,30,55,112,53,99,104,27,62,'h '
50,25,48,96,48,92,63,23,52,'s '
58,75,110,82,74,108,52,32,58,'o '
76,72,89,118,74,119,117,32,69,'d '
78,27,54,117,49,95,105,27,61,'h '
78,28,53,110,48,92,85,24,58,'h '
56,43,63,96,63,101,112,27,59,'d '
52,28,53,100,48,88,59,23,50,'s '
79,27,54,115,49,95,95,25,59,'h '
61,65,88,87,85,124,106,71,110,'o '
67,32,56,102,55,99,96,28,62,'s '
70,28,51,104,51,95,88,26,60,'s '
63,29,53,99,50,94,85,26,60,'s '
50,42,62,90,52,95,71,25,55,'s '
52,28,53,92,60,103,82,27,57,'s '
59,30,52,90,54,93,80,26,58,'s '
71,27,53,109,49,96,95,26,59,'s '
56,26,50,91,49,93,81,25,56,'s '
55,38,58,89,60,97,102,27,60,'d '
76,39,64,109,53,101,100,27,62,'s '
55,39,62,91,66,102,98,27,57,'d '
52,27,52,89,50,92,71,25,55,'s '
66,29,53,99,51,96,77,26,58,'s '
44,43,67,86,57,98,80,25,54,'d '
67,68,89,110,82,121,79,51,81,'o '
52,25,49,94,47,89,68,22,52,'s '
74,27,51,106,46,90,89,25,58,'h '
64,28,54,101,51,95,82,25,60,'h '
69,30,55,99,53,97,90,28,61,'s '
46,25,47,87,48,89,57,23,53,'s '
57,27,50,92,49,92,73,24,57,'s '
48,25,47,92,49,88,63,23,53,'s '
51,50,72,78,66,99,94,25,55,'d '
53,33,55,89,56,95,73,26,56,'s '
69,27,52,106,48,93,84,23,55,'s '
85,29,55,119,50,96,104,26,60,'h '
60,56,78,84,73,104,102,27,56,'d '
49,29,51,89,55,94,85,26,56,'s '
60,29,50,99,49,96,78,24,57,'s '
51,47,68,92,75,115,99,32,68,'o '
48,42,64,81,68,99,98,26,57,'d '
58,32,56,95,55,98,83,25,57,'s '
75,79,98,106,94,131,85,45,79,'o '
57,50,67,84,74,104,110,26,57,'d '
54,25,50,104,49,94,83,26,57,'s '
64,32,57,95,52,96,78,27,57,'s '
55,28,50,92,50,93,70,25,56,'s '
58,43,67,88,60,96,91,26,56,'d '
60,41,63,87,61,99,96,25,58,'d '
60,27,53,97,49,93,83,25,58,'s '
55,44,62,114,57,102,110,28,62,'d '
48,37,64,88,71,103,71,26,54,'d '
66,27,51,113,49,94,91,24,58,'h '
80,29,54,113,49,91,98,25,59,'h '
50,31,52,85,48,86,73,24,51,'d '
59,28,54,95,51,96,76,26,58,'s '
51,28,48,81,47,87,80,25,54,'s '
69,28,52,106,51,94,88,25,58,'s '
65,48,68,107,66,107,114,30,63,'d '
56,63,90,85,87,127,68,51,84,'o '
56,58,81,69,65,100,109,42,80,'o '
56,25,50,102,50,93,81,24,57,'s '
72,84,105,103,100,138,95,61,97,'o '
42,31,53,91,56,95,76,23,53,'d '
49,41,63,95,70,103,115,32,63,'d '
59,36,61,92,50,88,76,24,56,'s '
45,30,51,96,53,96,84,23,55,'d '
64,65,87,109,69,115,102,41,78,'o '
66,66,84,94,79,116,110,38,77,'o '
50,36,60,80,54,92,82,24,55,'d '
55,28,52,98,51,97,77,26,57,'s '
76,28,53,110,49,93,93,25,60,'h '
56,57,76,93,72,106,97,25,54,'d '
79,29,53,106,51,96,93,25,60,'s '
59,43,65,88,64,99,103,26,59,'d '
61,30,53,97,51,98,79,26,60,'s '
51,31,52,87,53,94,73,25,56,'s '
66,29,52,97,49,92,101,27,59,'s '
35,32,53,95,55,98,70,24,51,'d '
57,36,60,86,60,97,89,26,58,'d '
51,39,60,97,61,103,77,22,52,'d '
53,61,81,91,67,109,73,45,76,'o '
39,35,59,93,60,101,71,23,50,'d '
57,53,69,105,64,105,114,26,58,'d '
63,30,52,109,52,96,91,24,57,'s '
45,27,49,82,50,91,57,24,52,'s '
53,41,62,106,62,105,80,27,57,'d '
51,28,51,80,48,86,71,23,53,'s '
107,67,92,141,67,113,111,46,82,'o '
55,38,61,90,57,96,85,24,56,'d '
42,36,59,83,61,103,63,36,62,'o '
47,33,56,90,64,102,89,29,59,'d '
50,40,62,113,60,106,99,28,59,'d '
52,44,73,82,58,94,71,23,51,'d '
64,28,52,102,47,90,84,25,56,'s '
63,75,95,77,85,123,92,60,97,'o '
53,31,53,94,58,103,76,28,57,'s '
59,60,79,83,71,104,94,26,56,'d '
40,29,51,92,52,96,69,23,53,'d '
32,32,53,84,77,116,61,35,70,'o '
47,27,50,89,51,95,62,23,51,'s '
78,31,58,115,48,92,103,25,59,'h '
75,31,55,104,53,95,112,27,56,'h '
63,43,60,96,63,100,109,26,58,'d '
71,81,100,100,88,122,79,46,74,'o '
49,37,61,77,60,95,91,26,58,'d '
66,63,90,101,78,120,94,38,73,'o '
52,39,61,100,61,103,86,25,54,'o '
70,83,108,86,85,120,97,57,95,'o '
48,37,59,98,60,108,73,24,55,'d '
79,28,54,117,52,99,93,25,60,'h '
53,47,67,82,66,100,83,25,55,'o '
58,30,52,90,54,94,73,26,57,'s '
62,38,63,93,57,94,86,26,56,'s '
50,48,71,86,67,102,89,25,56,'d '
51,27,51,90,51,95,64,24,54,'s '
67,28,51,100,51,97,84,25,58,'s '
47,28,51,100,52,99,66,24,54,'s '
55,52,68,81,69,100,87,25,54,'d '
80,41,64,104,60,94,119,29,60,'d '
50,29,53,84,49,91,83,24,56,'s '
68,31,54,106,53,97,94,27,59,'s '
45,28,49,91,51,95,66,24,53,'s '
53,48,77,100,74,113,103,42,80,'o '
51,37,60,99,62,108,89,26,57,'d '
65,27,50,88,47,88,75,23,53,'s '
50,27,51,94,50,96,67,24,56,'s '
73,27,54,111,51,98,92,25,60,'h '
46,44,70,82,55,96,84,24,54,'d '
58,32,56,98,58,101,88,24,58,'s '
53,39,60,101,59,109,97,26,58,'d '
49,38,62,82,56,93,73,25,54,'d '
66,67,106,94,61,93,47,23,49,'o '
47,38,62,90,70,103,100,28,58,'d '
50,30,54,88,51,93,61,22,50,'s '
61,46,66,121,63,112,105,27,59,'d '
49,43,64,116,58,107,102,27,59,'d '
54,29,54,81,51,89,66,21,51,'h '
56,44,64,117,64,114,107,27,59,'d '
59,51,96,86,80,131,67,53,98,'o '
50,43,65,96,65,108,105,28,61,'d '
48,25,49,93,50,94,67,24,53,'s '
73,79,123,98,89,115,68,44,73,'o '
64,31,54,98,51,94,91,25,56,'s '
43,26,47,81,48,91,50,22,49,'s '
85,29,55,118,47,92,93,25,59,'h '
54,43,65,111,61,109,89,26,54,'d '
63,57,75,122,88,124,98,40,71,'o '
81,29,53,114,53,98,102,26,61,'h '
54,30,51,94,52,92,80,23,54,'s '
34,32,51,93,61,106,81,25,55,'d '
74,34,56,104,57,96,115,28,63,'s '
52,29,51,80,51,89,75,24,54,'s '
64,57,75,86,73,103,88,23,51,'d '
52,54,78,76,63,95,78,25,52,'d '
54,31,56,87,49,87,67,23,50,'s '
48,29,52,86,56,100,61,23,54,'s '
59,32,54,92,52,95,83,27,61,'s '
55,65,97,81,66,98,75,26,54,'d '
48,26,50,89,51,95,60,23,54,'s '
50,30,52,82,52,90,90,25,55,'s '
46,27,49,87,47,88,70,23,51,'s '
81,90,110,124,73,116,124,37,75,'o '
59,72,98,91,85,125,118,47,87,'o '
52,44,64,99,57,97,107,27,59,'d '
52,46,66,89,59,96,97,26,58,'d '
33,31,53,106,53,104,64,23,52,'d '
65,53,74,108,72,116,98,31,62,'d '
90,32,59,129,52,99,121,27,65,'h '
41,27,50,84,51,94,57,23,50,'s '
45,40,59,98,55,99,85,26,57,'d '
49,27,49,87,51,93,74,24,54,'s '
46,26,49,89,52,93,65,22,51,'s '
39,24,47,80,47,89,55,22,52,'s '
63,35,56,100,51,94,104,26,57,'s '
81,29,54,110,48,91,86,24,56,'h '
56,30,51,89,51,92,84,24,56,'s '
44,39,59,109,57,104,96,25,54,'d '
52,30,53,82,53,92,83,24,52,'s '
66,32,55,91,49,91,82,27,58,'d '
