@relation R_data_frame

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
54,0,144,0,1,1,0.272727,1,0.727273,0.428571,1,1,0
54,0,137,7,0.951389,1,0.282723,1,0.717277,0.440816,0.964646,1.036649,0.166667
54,0,52,92,0.361111,1,0.509434,1,0.490566,0.675,0.535354,1.867925,0.333333
53,1,1,143,0.006944,0.981481,0.981481,0.981481,0.018519,0.981481,0.272727,3.598765,0.5
0,54,0,144,0,0,?,0,?,?,0,?,0.50001
54,0,144,0,1,1,0.272727,1,0.727273,0.428571,1,1,0
54,0,143,1,0.993056,1,0.274112,1,0.725888,0.430279,0.994949,1.005076,0
54,0,142,2,0.986111,1,0.27551,1,0.72449,0.432,0.989899,1.010204,0
54,0,141,3,0.979167,1,0.276923,1,0.723077,0.433735,0.984848,1.015385,0.000004
54,0,140,4,0.972222,1,0.278351,1,0.721649,0.435484,0.979798,1.020619,0.000005
54,0,139,5,0.965278,1,0.279793,1,0.720207,0.437247,0.974747,1.025907,0.000007
54,0,138,6,0.958333,1,0.28125,1,0.71875,0.439024,0.969697,1.03125,0.000007
54,0,137,7,0.951389,1,0.282723,1,0.717277,0.440816,0.964646,1.036649,0.000007
54,0,136,8,0.944444,1,0.284211,1,0.715789,0.442623,0.959596,1.042105,0.000014
54,0,135,9,0.9375,1,0.285714,1,0.714286,0.444444,0.954545,1.047619,0.000017
54,0,134,10,0.930556,1,0.287234,1,0.712766,0.446281,0.949495,1.053191,0.00002
54,0,133,11,0.923611,1,0.28877,1,0.71123,0.448133,0.944444,1.058824,0.00003
54,0,132,12,0.916667,1,0.290323,1,0.709677,0.45,0.939394,1.064516,0.000045
54,0,131,13,0.909722,1,0.291892,1,0.708108,0.451883,0.934343,1.07027,0.000054
54,0,130,14,0.902778,1,0.293478,1,0.706522,0.453782,0.929293,1.076087,0.000056
54,0,129,15,0.895833,1,0.295082,1,0.704918,0.455696,0.924242,1.081967,0.000057
54,0,128,16,0.888889,1,0.296703,1,0.703297,0.457627,0.919192,1.087912,0.000057
54,0,127,17,0.881944,1,0.298343,1,0.701657,0.459574,0.914141,1.093923,0.000076
54,0,126,18,0.875,1,0.3,1,0.7,0.461538,0.909091,1.1,0.000077
54,0,125,19,0.868056,1,0.301676,1,0.698324,0.463519,0.90404,1.106145,0.000077
54,0,124,20,0.861111,1,0.303371,1,0.696629,0.465517,0.89899,1.11236,0.000078
54,0,123,21,0.854167,1,0.305085,1,0.694915,0.467532,0.893939,1.118644,0.000095
54,0,122,22,0.847222,1,0.306818,1,0.693182,0.469565,0.888889,1.125,0.000097
54,0,121,23,0.840278,1,0.308571,1,0.691429,0.471616,0.883838,1.131429,0.000107
54,0,120,24,0.833333,1,0.310345,1,0.689655,0.473684,0.878788,1.137931,0.000112
54,0,119,25,0.826389,1,0.312139,1,0.687861,0.475771,0.873737,1.144509,0.000119
54,0,118,26,0.819444,1,0.313953,1,0.686047,0.477876,0.868687,1.151163,0.000122
54,0,117,27,0.8125,1,0.315789,1,0.684211,0.48,0.863636,1.157895,0.000129
